tick, sec, speed, distance, spdacm, x, y, energy
0, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, 109.000000, 1120859333.333333
1, 0.016667, 0.024610, 0.024610, 0.015625, 500.015625, 109.000000, 1120839333.333333
2, 0.033333, 0.036722, 0.061333, 0.039063, 500.039063, 109.000000, 1120829333.333333
3, 0.050000, 0.048789, 0.110121, 0.074219, 500.074219, 109.000000, 1120819333.333333
4, 0.066667, 0.060810, 0.170931, 0.125000, 500.125000, 109.000000, 1120809333.333333
5, 0.083333, 0.072786, 0.243717, 0.183594, 500.183594, 109.000000, 1120799333.333333
6, 0.100000, 0.084717, 0.328434, 0.257813, 500.257813, 109.000000, 1120789333.333333
7, 0.116667, 0.096603, 0.425037, 0.343750, 500.343750, 109.000000, 1120779333.333333
8, 0.133333, 0.108445, 0.533482, 0.437500, 500.437500, 109.000000, 1120769333.333333
9, 0.150000, 0.120242, 0.653724, 0.546875, 500.546875, 109.000000, 1120759333.333333
10, 0.166667, 0.131996, 0.785720, 0.667969, 500.667969, 109.000000, 1120749333.333333
11, 0.183333, 0.143705, 0.929425, 0.800781, 500.800781, 109.000000, 1120739333.333333
12, 0.200000, 0.155370, 1.084794, 0.945313, 500.945313, 109.000000, 1120729333.333333
13, 0.216667, 0.166991, 1.251786, 1.097656, 501.097656, 109.000000, 1120719333.333333
14, 0.233333, 0.178569, 1.430355, 1.265625, 501.265625, 109.000000, 1120709333.333333
15, 0.250000, 0.190104, 1.620458, 1.445313, 501.445313, 109.000000, 1120699333.333333
16, 0.266667, 0.201595, 1.822053, 1.632813, 501.632813, 109.000000, 1120689333.333333
17, 0.283333, 0.213043, 2.035096, 1.835938, 501.835938, 109.000000, 1120679333.333333
18, 0.300000, 0.224448, 2.259544, 2.050781, 502.050781, 109.000000, 1120669333.333333
19, 0.316667, 0.235810, 2.495354, 2.273438, 502.273438, 109.000000, 1120659333.333333
20, 0.333333, 0.247130, 2.742484, 2.507813, 502.507813, 109.000000, 1120649333.333333
21, 0.350000, 0.258407, 3.000892, 2.757813, 502.757813, 109.000000, 1120639333.333333
22, 0.366667, 0.269642, 3.270534, 3.015625, 503.015625, 109.000000, 1120629333.333333
23, 0.383333, 0.280835, 3.551369, 3.285156, 503.285156, 109.000000, 1120619333.333333
24, 0.400000, 0.291986, 3.843356, 3.566406, 503.566406, 109.000000, 1120609333.333333
25, 0.416667, 0.303095, 4.146451, 3.859375, 503.859375, 109.000000, 1120599333.333333
26, 0.433333, 0.314163, 4.460614, 4.160156, 504.160156, 109.000000, 1120589333.333333
27, 0.450000, 0.325189, 4.785803, 4.476563, 504.476563, 109.000000, 1120579333.333333
28, 0.466667, 0.336173, 5.121976, 4.800781, 504.800781, 109.000000, 1120569333.333333
29, 0.483333, 0.347117, 5.469093, 5.136719, 505.136719, 109.000000, 1120559333.333333
30, 0.500000, 0.358019, 5.827112, 5.484375, 505.484375, 109.000000, 1120549333.333333
31, 0.516667, 0.368881, 6.195993, 5.839844, 505.839844, 109.000000, 1120539333.333333
32, 0.533333, 0.379701, 6.575694, 6.210938, 506.210938, 109.000000, 1120529333.333333
33, 0.550000, 0.390482, 6.966176, 6.589844, 506.589844, 109.000000, 1120519333.333333
