tick, sec, speed, distance, spdacm, x, y, energy
0, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, 109.000000, 1127499333.333333
1, 0.016667, 0.024610, 0.024610, 0.015625, 500.015625, 109.000000, 1127479333.333333
2, 0.033333, 0.036722, 0.061333, 0.039063, 500.039063, 109.000000, 1127469333.333333
3, 0.050000, 0.048789, 0.110121, 0.074219, 500.074219, 109.000000, 1127459333.333333
4, 0.066667, 0.060810, 0.170931, 0.125000, 500.125000, 109.000000, 1127449333.333333
5, 0.083333, 0.072786, 0.243717, 0.183594, 500.183594, 109.000000, 1127439333.333333
6, 0.100000, 0.084717, 0.328434, 0.257813, 500.257813, 109.000000, 1127429333.333333
7, 0.116667, 0.096603, 0.425037, 0.343750, 500.343750, 109.000000, 1127419333.333333
8, 0.133333, 0.108445, 0.533482, 0.437500, 500.437500, 109.000000, 1127409333.333333
9, 0.150000, 0.120242, 0.653724, 0.546875, 500.546875, 109.000000, 1127399333.333333
10, 0.166667, 0.131996, 0.785720, 0.667969, 500.667969, 109.000000, 1127389333.333333
11, 0.183333, 0.143705, 0.929425, 0.800781, 500.800781, 109.000000, 1127379333.333333
12, 0.200000, 0.155370, 1.084794, 0.945313, 500.945313, 109.000000, 1127369333.333333
13, 0.216667, 0.166991, 1.251786, 1.097656, 501.097656, 109.000000, 1127359333.333333
14, 0.233333, 0.178569, 1.430355, 1.265625, 501.265625, 109.000000, 1127349333.333333
15, 0.250000, 0.190104, 1.620458, 1.445313, 501.445313, 109.000000, 1127339333.333333
16, 0.266667, 0.201595, 1.822053, 1.632813, 501.632813, 109.000000, 1127329333.333333
17, 0.283333, 0.213043, 2.035096, 1.835938, 501.835938, 109.000000, 1127319333.333333
18, 0.300000, 0.224448, 2.259544, 2.050781, 502.050781, 109.000000, 1127309333.333333
19, 0.316667, 0.235810, 2.495354, 2.273438, 502.273438, 109.000000, 1127299333.333333
20, 0.333333, 0.247130, 2.742484, 2.507813, 502.507813, 109.000000, 1127289333.333333
21, 0.350000, 0.258407, 3.000892, 2.757813, 502.757813, 109.000000, 1127279333.333333
22, 0.366667, 0.269642, 3.270534, 3.015625, 503.015625, 109.000000, 1127269333.333333
23, 0.383333, 0.280835, 3.551369, 3.285156, 503.285156, 109.000000, 1127259333.333333
24, 0.400000, 0.291986, 3.843356, 3.566406, 503.566406, 109.000000, 1127249333.333333
25, 0.416667, 0.303095, 4.146451, 3.859375, 503.859375, 109.000000, 1127239333.333333
26, 0.433333, 0.314163, 4.460614, 4.160156, 504.160156, 109.000000, 1127229333.333333
27, 0.450000, 0.325189, 4.785803, 4.476563, 504.476563, 109.000000, 1127219333.333333
28, 0.466667, 0.336173, 5.121976, 4.800781, 504.800781, 109.000000, 1127209333.333333
29, 0.483333, 0.347117, 5.469093, 5.136719, 505.136719, 109.000000, 1127199333.333333
30, 0.500000, 0.358019, 5.827112, 5.484375, 505.484375, 109.000000, 1127189333.333333
31, 0.516667, 0.368881, 6.195993, 5.839844, 505.839844, 109.000000, 1127179333.333333
32, 0.533333, 0.379701, 6.575694, 6.210938, 506.210938, 109.000000, 1127169333.333333
33, 0.550000, 0.390482, 6.966176, 6.589844, 506.589844, 109.000000, 1127159333.333333
34, 0.566667, 0.401221, 7.367397, 6.980469, 506.980469, 109.000000, 1127149333.333333
35, 0.583333, 0.411921, 7.779318, 7.382813, 507.382813, 109.000000, 1127139333.333333
36, 0.600000, 0.422580, 8.201899, 7.792969, 507.792969, 109.000000, 1127129333.333333
37, 0.616667, 0.433200, 8.635098, 8.214844, 508.214844, 109.000000, 1127119333.333333
38, 0.633333, 0.443779, 9.078877, 8.648438, 508.648438, 109.000000, 1127109333.333333
39, 0.650000, 0.454319, 9.533196, 9.093750, 509.093750, 109.000000, 1127099333.333333
40, 0.666667, 0.464819, 9.998016, 9.546875, 509.546875, 109.000000, 1127089333.333333
41, 0.683333, 0.475280, 10.473296, 10.011719, 510.011719, 109.000000, 1127079333.333333
42, 0.700000, 0.485702, 10.958998, 10.488281, 510.488281, 109.000000, 1127069333.333333
43, 0.716667, 0.496085, 11.455083, 10.972656, 510.972656, 109.000000, 1127059333.333333
44, 0.733333, 0.506429, 11.961512, 11.468750, 511.468750, 109.000000, 1127049333.333333
45, 0.750000, 0.516734, 12.478246, 11.976563, 511.976563, 109.000000, 1127039333.333333
46, 0.766667, 0.527000, 13.005245, 12.492188, 512.492188, 109.000000, 1127029333.333333
47, 0.783333, 0.537228, 13.542473, 13.019531, 513.019531, 109.000000, 1127019333.333333
48, 0.800000, 0.547417, 14.089890, 13.558594, 513.558594, 109.000000, 1127009333.333333
49, 0.816667, 0.557568, 14.647459, 14.105469, 514.105469, 109.000000, 1126999333.333333
50, 0.833333, 0.567682, 15.215140, 14.660156, 514.660156, 109.000000, 1126989333.333333
51, 0.850000, 0.577757, 15.792897, 15.230469, 515.230469, 109.000000, 1126979333.333333
52, 0.866667, 0.587794, 16.380691, 15.808594, 515.808594, 109.000000, 1126969333.333333
53, 0.883333, 0.597794, 16.978486, 16.394531, 516.394531, 109.000000, 1126959333.333333
