tick, sec, speed, distance, spdacm, x, y, energy
0, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, 109.000000, 1108869333.333333
1, 0.016667, 0.024610, 0.024610, 0.015625, 500.015625, 109.000000, 1108849333.333333
2, 0.033333, 0.036722, 0.061333, 0.039063, 500.039063, 109.000000, 1108839333.333333
3, 0.050000, 0.048789, 0.110121, 0.074219, 500.074219, 109.000000, 1108829333.333333
4, 0.066667, 0.060810, 0.170931, 0.125000, 500.125000, 109.000000, 1108819333.333333
5, 0.083333, 0.072786, 0.243717, 0.183594, 500.183594, 109.000000, 1108809333.333333
6, 0.100000, 0.084717, 0.328434, 0.257813, 500.257813, 109.000000, 1108799333.333333
7, 0.116667, 0.096603, 0.425037, 0.343750, 500.343750, 109.000000, 1108789333.333333
8, 0.133333, 0.108445, 0.533482, 0.437500, 500.437500, 109.000000, 1108779333.333333
9, 0.150000, 0.120242, 0.653724, 0.546875, 500.546875, 109.000000, 1108769333.333333
10, 0.166667, 0.131996, 0.785720, 0.667969, 500.667969, 109.000000, 1108759333.333333
11, 0.183333, 0.143705, 0.929425, 0.800781, 500.800781, 109.000000, 1108749333.333333
12, 0.200000, 0.155370, 1.084794, 0.945313, 500.945313, 109.000000, 1108739333.333333
13, 0.216667, 0.166991, 1.251786, 1.097656, 501.097656, 109.000000, 1108729333.333333
14, 0.233333, 0.178569, 1.430355, 1.265625, 501.265625, 109.000000, 1108719333.333333
15, 0.250000, 0.190104, 1.620458, 1.445313, 501.445313, 109.000000, 1108709333.333333
16, 0.266667, 0.201595, 1.822053, 1.632813, 501.632813, 109.000000, 1108699333.333333
17, 0.283333, 0.213043, 2.035096, 1.835938, 501.835938, 109.000000, 1108689333.333333
18, 0.300000, 0.224448, 2.259544, 2.050781, 502.050781, 109.000000, 1108679333.333333
19, 0.316667, 0.235810, 2.495354, 2.273438, 502.273438, 109.000000, 1108669333.333333
20, 0.333333, 0.247130, 2.742484, 2.507813, 502.507813, 109.000000, 1108659333.333333
21, 0.350000, 0.258407, 3.000892, 2.757813, 502.757813, 109.000000, 1108649333.333333
22, 0.366667, 0.269642, 3.270534, 3.015625, 503.015625, 109.000000, 1108639333.333333
23, 0.383333, 0.280835, 3.551369, 3.285156, 503.285156, 109.000000, 1108629333.333333
24, 0.400000, 0.291986, 3.843356, 3.566406, 503.566406, 109.000000, 1108619333.333333
25, 0.416667, 0.303095, 4.146451, 3.859375, 503.859375, 109.000000, 1108609333.333333
26, 0.433333, 0.314163, 4.460614, 4.160156, 504.160156, 109.000000, 1108599333.333333
27, 0.450000, 0.325189, 4.785803, 4.476563, 504.476563, 109.000000, 1108589333.333333
28, 0.466667, 0.336173, 5.121976, 4.800781, 504.800781, 109.000000, 1108579333.333333
29, 0.483333, 0.347117, 5.469093, 5.136719, 505.136719, 109.000000, 1108569333.333333
30, 0.500000, 0.358019, 5.827112, 5.484375, 505.484375, 109.000000, 1108559333.333333
31, 0.516667, 0.368881, 6.195993, 5.839844, 505.839844, 109.000000, 1108549333.333333
32, 0.533333, 0.379701, 6.575694, 6.210938, 506.210938, 109.000000, 1108539333.333333
33, 0.550000, 0.390482, 6.966176, 6.589844, 506.589844, 109.000000, 1108529333.333333
34, 0.566667, 0.401221, 7.367397, 6.980469, 506.980469, 109.000000, 1108519333.333333
35, 0.583333, 0.411921, 7.779318, 7.382813, 507.382813, 109.000000, 1108509333.333333
36, 0.600000, 0.422580, 8.201899, 7.792969, 507.792969, 109.000000, 1108499333.333333
37, 0.616667, 0.433200, 8.635098, 8.214844, 508.214844, 109.000000, 1108489333.333333
38, 0.633333, 0.443779, 9.078877, 8.648438, 508.648438, 109.000000, 1108479333.333333
39, 0.650000, 0.454319, 9.533196, 9.093750, 509.093750, 109.000000, 1108469333.333333
40, 0.666667, 0.464819, 9.998016, 9.546875, 509.546875, 109.000000, 1108459333.333333
41, 0.683333, 0.475280, 10.473296, 10.011719, 510.011719, 109.000000, 1108449333.333333
42, 0.700000, 0.485702, 10.958998, 10.488281, 510.488281, 109.000000, 1108439333.333333
43, 0.716667, 0.496085, 11.455083, 10.972656, 510.972656, 109.000000, 1108429333.333333
44, 0.733333, 0.506429, 11.961512, 11.468750, 511.468750, 109.000000, 1108419333.333333
45, 0.750000, 0.516734, 12.478246, 11.976563, 511.976563, 109.000000, 1108409333.333333
46, 0.766667, 0.527000, 13.005245, 12.492188, 512.492188, 109.000000, 1108399333.333333
47, 0.783333, 0.537228, 13.542473, 13.019531, 513.019531, 109.000000, 1108389333.333333
48, 0.800000, 0.547417, 14.089890, 13.558594, 513.558594, 109.000000, 1108379333.333333
49, 0.816667, 0.557568, 14.647459, 14.105469, 514.105469, 109.000000, 1108369333.333333
50, 0.833333, 0.567682, 15.215140, 14.660156, 514.660156, 109.000000, 1108359333.333333
51, 0.850000, 0.577757, 15.792897, 15.230469, 515.230469, 109.000000, 1108349333.333333
52, 0.866667, 0.587794, 16.380691, 15.808594, 515.808594, 109.000000, 1108339333.333333
53, 0.883333, 0.597794, 16.978486, 16.394531, 516.394531, 109.000000, 1108329333.333333
54, 0.900000, 0.607756, 17.586242, 16.992188, 516.992188, 109.000000, 1108319333.333333
55, 0.916667, 0.617681, 18.203923, 17.601563, 517.601563, 109.000000, 1108309333.333333
56, 0.933333, 0.627569, 18.831493, 18.218750, 518.218750, 109.000000, 1108299333.333333
57, 0.950000, 0.637420, 19.468913, 18.847656, 518.847656, 109.000000, 1108289333.333333
58, 0.966667, 0.647234, 20.116146, 19.484375, 519.484375, 109.000000, 1108279333.333333
59, 0.983333, 0.657011, 20.773157, 20.128906, 520.128906, 109.000000, 1108269333.333333
60, 1.000000, 0.666751, 21.439908, 20.789063, 520.789063, 109.000000, 1108259333.333333
61, 1.016667, 0.676455, 22.116362, 21.453125, 521.453125, 109.000000, 1108249333.333333
62, 1.033333, 0.686122, 22.802484, 22.128906, 522.128906, 109.000000, 1108239333.333333
63, 1.050000, 0.695753, 23.498237, 22.816406, 522.816406, 109.000000, 1108229333.333333
64, 1.066667, 0.705348, 24.203585, 23.511719, 523.511719, 109.000000, 1108219333.333333
65, 1.083333, 0.714907, 24.918492, 24.218750, 524.218750, 109.000000, 1108209333.333333
66, 1.100000, 0.724430, 25.642922, 24.933594, 524.933594, 109.000000, 1108199333.333333
67, 1.116667, 0.733918, 26.376840, 25.656250, 525.656250, 109.000000, 1108189333.333333
68, 1.133333, 0.743370, 27.120210, 26.390625, 526.390625, 109.000000, 1108179333.333333
69, 1.150000, 0.752786, 27.872996, 27.132813, 527.132813, 109.000000, 1108169333.333333
70, 1.166667, 0.762167, 28.635163, 27.886719, 527.886719, 109.000000, 1108159333.333333
71, 1.183333, 0.771513, 29.406676, 28.648438, 528.648438, 109.000000, 1108149333.333333
72, 1.200000, 0.780824, 30.187500, 29.421875, 529.421875, 109.000000, 1108139333.333333
73, 1.216667, 0.790100, 30.977599, 30.203125, 530.203125, 109.000000, 1108129333.333333
74, 1.233333, 0.799341, 31.776940, 30.992188, 530.992188, 109.000000, 1108119333.333333
75, 1.250000, 0.808548, 32.585488, 31.792969, 531.792969, 109.000000, 1108109333.333333
76, 1.266667, 0.817720, 33.403208, 32.601563, 532.601563, 109.000000, 1108099333.333333
77, 1.283333, 0.826857, 34.230065, 33.417969, 533.417969, 109.000000, 1108089333.333333
78, 1.300000, 0.835961, 35.066025, 34.246094, 534.246094, 109.000000, 1108079333.333333
79, 1.316667, 0.845030, 35.911055, 35.082031, 535.082031, 109.000000, 1108069333.333333
80, 1.333333, 0.854065, 36.765120, 35.925781, 535.925781, 109.000000, 1108059333.333333
81, 1.350000, 0.863066, 37.628186, 36.781250, 536.781250, 109.000000, 1108049333.333333
82, 1.366667, 0.872034, 38.500220, 37.640625, 537.640625, 109.000000, 1108039333.333333
83, 1.383333, 0.880968, 39.381188, 38.515625, 538.515625, 109.000000, 1108029333.333333
84, 1.400000, 0.889868, 40.271056, 39.394531, 539.394531, 109.000000, 1108019333.333333
85, 1.416667, 0.898735, 41.169792, 40.285156, 540.285156, 109.000000, 1108009333.333333
86, 1.433333, 0.907569, 42.077361, 41.183594, 541.183594, 109.000000, 1107999333.333333
87, 1.450000, 0.916370, 42.993730, 42.089844, 542.089844, 109.000000, 1107989333.333333
88, 1.466667, 0.925137, 43.918868, 43.007813, 543.007813, 109.000000, 1107979333.333333
89, 1.483333, 0.933872, 44.852740, 43.933594, 543.933594, 109.000000, 1107969333.333333
90, 1.500000, 0.942574, 45.795314, 44.867188, 544.867188, 109.000000, 1107959333.333333
91, 1.516667, 0.951244, 46.746558, 45.808594, 545.808594, 109.000000, 1107949333.333333
92, 1.533333, 0.959881, 47.706439, 46.761719, 546.761719, 109.000000, 1107939333.333333
93, 1.550000, 0.968485, 48.674924, 47.722656, 547.722656, 109.000000, 1107929333.333333
94, 1.566667, 0.977057, 49.651981, 48.687500, 548.687500, 109.000000, 1107919333.333333
95, 1.583333, 0.985597, 50.637579, 49.667969, 549.667969, 109.000000, 1107909333.333333
96, 1.600000, 0.994106, 51.631684, 50.652344, 550.652344, 109.000000, 1107899333.333333
97, 1.616667, 1.002582, 52.634266, 51.644531, 551.644531, 109.000000, 1107889333.333333
98, 1.633333, 1.011026, 53.645292, 52.648438, 552.648438, 109.000000, 1107879333.333333
99, 1.650000, 1.019439, 54.664731, 53.660156, 553.660156, 109.000000, 1107869333.333333
100, 1.666667, 1.027820, 55.692550, 54.679688, 554.679688, 109.000000, 1107859333.333333
101, 1.683333, 1.036170, 56.728720, 55.707031, 555.707031, 109.000000, 1107849333.333333
102, 1.700000, 1.044488, 57.773208, 56.742188, 556.742188, 109.000000, 1107839333.333333
103, 1.716667, 1.052775, 58.825984, 57.789063, 557.789063, 109.000000, 1107829333.333333
104, 1.733333, 1.061031, 59.887015, 58.839844, 558.839844, 109.000000, 1107819333.333333
105, 1.750000, 1.069257, 60.956272, 59.902344, 559.902344, 109.000000, 1107809333.333333
106, 1.766667, 1.077451, 62.033723, 60.968750, 560.968750, 109.000000, 1107799333.333333
107, 1.783333, 1.085615, 63.119337, 62.046875, 562.046875, 109.000000, 1107789333.333333
108, 1.800000, 1.093748, 64.213085, 63.132813, 563.132813, 109.000000, 1107779333.333333
109, 1.816667, 1.101850, 65.314935, 64.226563, 564.226563, 109.000000, 1107769333.333333
110, 1.833333, 1.109922, 66.424858, 65.328125, 565.328125, 109.000000, 1107759333.333333
111, 1.850000, 1.117964, 67.542822, 66.437500, 566.437500, 109.000000, 1107749333.333333
112, 1.866667, 1.125976, 68.668798, 67.558594, 567.558594, 109.000000, 1107739333.333333
113, 1.883333, 1.133957, 69.802755, 68.683594, 568.683594, 109.000000, 1107729333.333333
114, 1.900000, 1.141909, 70.944664, 69.816406, 569.816406, 109.000000, 1107719333.333333
