tick, sec, speed, distance, spdacm, x, y energy
0, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, 109.000000, 1146509333.333333
1, 0.016667, 0.024610, 0.024610, 0.015625, 500.015625, 109.000000, 1146489333.333333
2, 0.033333, 0.036722, 0.061333, 0.039063, 500.039063, 109.000000, 1146479333.333333
3, 0.050000, 0.048789, 0.110121, 0.074219, 500.074219, 109.000000, 1146469333.333333
4, 0.066667, 0.060810, 0.170931, 0.125000, 500.125000, 109.000000, 1146459333.333333
5, 0.083333, 0.072786, 0.243717, 0.183594, 500.183594, 109.000000, 1146449333.333333
6, 0.100000, 0.084717, 0.328434, 0.257813, 500.257813, 109.000000, 1146439333.333333
7, 0.116667, 0.096603, 0.425037, 0.343750, 500.343750, 109.000000, 1146429333.333333
8, 0.133333, 0.108445, 0.533482, 0.437500, 500.437500, 109.000000, 1146419333.333333
9, 0.150000, 0.120242, 0.653724, 0.546875, 500.546875, 109.000000, 1146409333.333333
10, 0.166667, 0.131996, 0.785720, 0.667969, 500.667969, 109.000000, 1146399333.333333
11, 0.183333, 0.143705, 0.929425, 0.800781, 500.800781, 109.000000, 1146389333.333333
12, 0.200000, 0.155370, 1.084794, 0.945313, 500.945313, 109.000000, 1146379333.333333
13, 0.216667, 0.166991, 1.251786, 1.097656, 501.097656, 109.000000, 1146369333.333333
14, 0.233333, 0.178569, 1.430355, 1.265625, 501.265625, 109.000000, 1146359333.333333
15, 0.250000, 0.190104, 1.620458, 1.445313, 501.445313, 109.000000, 1146349333.333333
16, 0.266667, 0.201595, 1.822053, 1.632813, 501.632813, 109.000000, 1146339333.333333
17, 0.283333, 0.213043, 2.035096, 1.835938, 501.835938, 109.000000, 1146329333.333333
18, 0.300000, 0.224448, 2.259544, 2.050781, 502.050781, 109.000000, 1146319333.333333
19, 0.316667, 0.235810, 2.495354, 2.273438, 502.273438, 109.000000, 1146309333.333333
20, 0.333333, 0.247130, 2.742484, 2.507813, 502.507813, 109.000000, 1146299333.333333
21, 0.350000, 0.258407, 3.000892, 2.757813, 502.757813, 109.000000, 1146289333.333333
22, 0.366667, 0.269642, 3.270534, 3.015625, 503.015625, 109.000000, 1146279333.333333
23, 0.383333, 0.280835, 3.551369, 3.285156, 503.285156, 109.000000, 1146269333.333333
24, 0.400000, 0.291986, 3.843356, 3.566406, 503.566406, 109.000000, 1146259333.333333
25, 0.416667, 0.303095, 4.146451, 3.859375, 503.859375, 109.000000, 1146249333.333333
26, 0.433333, 0.314163, 4.460614, 4.160156, 504.160156, 109.000000, 1146239333.333333
27, 0.450000, 0.325189, 4.785803, 4.476563, 504.476563, 109.000000, 1146229333.333333
28, 0.466667, 0.336173, 5.121976, 4.800781, 504.800781, 109.000000, 1146219333.333333
29, 0.483333, 0.347117, 5.469093, 5.136719, 505.136719, 109.000000, 1146209333.333333
30, 0.500000, 0.358019, 5.827112, 5.484375, 505.484375, 109.000000, 1146199333.333333
31, 0.516667, 0.368881, 6.195993, 5.839844, 505.839844, 109.000000, 1146189333.333333
32, 0.533333, 0.379701, 6.575694, 6.210938, 506.210938, 109.000000, 1146179333.333333
33, 0.550000, 0.390482, 6.966176, 6.589844, 506.589844, 109.000000, 1146169333.333333
34, 0.566667, 0.401221, 7.367397, 6.980469, 506.980469, 109.000000, 1146159333.333333
35, 0.583333, 0.411921, 7.779318, 7.382813, 507.382813, 109.000000, 1146149333.333333
36, 0.600000, 0.422580, 8.201899, 7.792969, 507.792969, 109.000000, 1146139333.333333
37, 0.616667, 0.433200, 8.635098, 8.214844, 508.214844, 109.000000, 1146129333.333333
38, 0.633333, 0.443779, 9.078877, 8.648438, 508.648438, 109.000000, 1146119333.333333
39, 0.650000, 0.454319, 9.533196, 9.093750, 509.093750, 109.000000, 1146109333.333333
40, 0.666667, 0.464819, 9.998016, 9.546875, 509.546875, 109.000000, 1146099333.333333
41, 0.683333, 0.475280, 10.473296, 10.011719, 510.011719, 109.000000, 1146089333.333333
42, 0.700000, 0.485702, 10.958998, 10.488281, 510.488281, 109.000000, 1146079333.333333
43, 0.716667, 0.496085, 11.455083, 10.972656, 510.972656, 109.000000, 1146069333.333333
44, 0.733333, 0.506429, 11.961512, 11.468750, 511.468750, 109.000000, 1146059333.333333
45, 0.750000, 0.516734, 12.478246, 11.976563, 511.976563, 109.000000, 1146049333.333333
46, 0.766667, 0.527000, 13.005245, 12.492188, 512.492188, 109.000000, 1146039333.333333
47, 0.783333, 0.537228, 13.542473, 13.019531, 513.019531, 109.000000, 1146029333.333333
48, 0.800000, 0.547417, 14.089890, 13.558594, 513.558594, 109.000000, 1146019333.333333
49, 0.816667, 0.557568, 14.647459, 14.105469, 514.105469, 109.000000, 1146009333.333333
50, 0.833333, 0.567682, 15.215140, 14.660156, 514.660156, 109.000000, 1145999333.333333
51, 0.850000, 0.577757, 15.792897, 15.230469, 515.230469, 109.000000, 1145989333.333333
52, 0.866667, 0.587794, 16.380691, 15.808594, 515.808594, 109.000000, 1145979333.333333
53, 0.883333, 0.597794, 16.978486, 16.394531, 516.394531, 109.000000, 1145969333.333333
54, 0.900000, 0.607756, 17.586242, 16.992188, 516.992188, 109.000000, 1145959333.333333
55, 0.916667, 0.617681, 18.203923, 17.601563, 517.601563, 109.000000, 1145949333.333333
56, 0.933333, 0.627569, 18.831493, 18.218750, 518.218750, 109.000000, 1145939333.333333
57, 0.950000, 0.637420, 19.468913, 18.847656, 518.847656, 109.000000, 1145929333.333333
58, 0.966667, 0.647234, 20.116146, 19.484375, 519.484375, 109.000000, 1145919333.333333
59, 0.983333, 0.657011, 20.773157, 20.128906, 520.128906, 109.000000, 1145909333.333333
60, 1.000000, 0.666751, 21.439908, 20.789063, 520.789063, 109.000000, 1145899333.333333
61, 1.016667, 0.676455, 22.116362, 21.453125, 521.453125, 109.000000, 1145889333.333333
62, 1.033333, 0.686122, 22.802484, 22.128906, 522.128906, 109.000000, 1145879333.333333
63, 1.050000, 0.695753, 23.498237, 22.816406, 522.816406, 109.000000, 1145869333.333333
64, 1.066667, 0.705348, 24.203585, 23.511719, 523.511719, 109.000000, 1145859333.333333
65, 1.083333, 0.714907, 24.918492, 24.218750, 524.218750, 109.000000, 1145849333.333333
66, 1.100000, 0.724430, 25.642922, 24.933594, 524.933594, 109.000000, 1145839333.333333
67, 1.116667, 0.733918, 26.376840, 25.656250, 525.656250, 109.000000, 1145829333.333333
68, 1.133333, 0.743370, 27.120210, 26.390625, 526.390625, 109.000000, 1145819333.333333
69, 1.150000, 0.752786, 27.872996, 27.132813, 527.132813, 109.000000, 1145809333.333333
70, 1.166667, 0.762167, 28.635163, 27.886719, 527.886719, 109.000000, 1145799333.333333
71, 1.183333, 0.771513, 29.406676, 28.648438, 528.648438, 109.000000, 1145789333.333333
72, 1.200000, 0.780824, 30.187500, 29.421875, 529.421875, 109.000000, 1145779333.333333
73, 1.216667, 0.790100, 30.977599, 30.203125, 530.203125, 109.000000, 1145769333.333333
74, 1.233333, 0.799341, 31.776940, 30.992188, 530.992188, 109.000000, 1145759333.333333
75, 1.250000, 0.808548, 32.585488, 31.792969, 531.792969, 109.000000, 1145749333.333333
76, 1.266667, 0.817720, 33.403208, 32.601563, 532.601563, 109.000000, 1145739333.333333
77, 1.283333, 0.826857, 34.230065, 33.417969, 533.417969, 109.000000, 1145729333.333333
78, 1.300000, 0.835961, 35.066025, 34.246094, 534.246094, 109.000000, 1145719333.333333
79, 1.316667, 0.845030, 35.911055, 35.082031, 535.082031, 109.000000, 1145709333.333333
80, 1.333333, 0.854065, 36.765120, 35.925781, 535.925781, 109.000000, 1145699333.333333
81, 1.350000, 0.863066, 37.628186, 36.781250, 536.781250, 109.000000, 1145689333.333333
82, 1.366667, 0.872034, 38.500220, 37.640625, 537.640625, 109.000000, 1145679333.333333
83, 1.383333, 0.880968, 39.381188, 38.515625, 538.515625, 109.000000, 1145669333.333333
84, 1.400000, 0.889868, 40.271056, 39.394531, 539.394531, 109.000000, 1145659333.333333
85, 1.416667, 0.898735, 41.169792, 40.285156, 540.285156, 109.000000, 1145649333.333333
86, 1.433333, 0.907569, 42.077361, 41.183594, 541.183594, 109.000000, 1145639333.333333
87, 1.450000, 0.916370, 42.993730, 42.089844, 542.089844, 109.000000, 1145629333.333333
88, 1.466667, 0.925137, 43.918868, 43.007813, 543.007813, 109.000000, 1145619333.333333
89, 1.483333, 0.933872, 44.852740, 43.933594, 543.933594, 109.000000, 1145609333.333333
90, 1.500000, 0.942574, 45.795314, 44.867188, 544.867188, 109.000000, 1145599333.333333
91, 1.516667, 0.951244, 46.746558, 45.808594, 545.808594, 109.000000, 1145589333.333333
92, 1.533333, 0.959881, 47.706439, 46.761719, 546.761719, 109.000000, 1145579333.333333
93, 1.550000, 0.968485, 48.674924, 47.722656, 547.722656, 109.000000, 1145569333.333333
94, 1.566667, 0.977057, 49.651981, 48.687500, 548.687500, 109.000000, 1145559333.333333
95, 1.583333, 0.985597, 50.637579, 49.667969, 549.667969, 109.000000, 1145549333.333333
96, 1.600000, 0.994106, 51.631684, 50.652344, 550.652344, 109.000000, 1145539333.333333
97, 1.616667, 1.002582, 52.634266, 51.644531, 551.644531, 109.000000, 1145529333.333333
98, 1.633333, 0.991968, 53.626234, 52.648438, 552.648438, 109.000000, 1145529333.333333
99, 1.650000, 0.981356, 54.607590, 53.640625, 553.640625, 109.000000, 1145529333.333333
100, 1.666667, 0.970745, 55.578335, 54.621094, 554.621094, 109.000000, 1145529333.333333
101, 1.683333, 0.960135, 56.538470, 55.593750, 555.593750, 109.000000, 1145529333.333333
102, 1.700000, 0.949527, 57.487996, 56.554688, 556.554688, 109.000000, 1145529333.333333
103, 1.716667, 0.938919, 58.426916, 57.503906, 557.503906, 109.000000, 1145529333.333333
104, 1.733333, 0.928314, 59.355229, 58.441406, 558.441406, 109.000000, 1145529333.333333
105, 1.750000, 0.917709, 60.272939, 59.371094, 559.371094, 109.000000, 1145529333.333333
106, 1.766667, 0.907106, 61.180045, 60.289063, 560.289063, 109.000000, 1145529333.333333
107, 1.783333, 0.896505, 62.076550, 61.195313, 561.195313, 109.000000, 1145529333.333333
108, 1.800000, 0.885905, 62.962454, 62.089844, 562.089844, 109.000000, 1145529333.333333
109, 1.816667, 0.875306, 63.837760, 62.976563, 562.976563, 109.000000, 1145529333.333333
110, 1.833333, 0.864709, 64.702469, 63.851563, 563.851563, 109.000000, 1145529333.333333
111, 1.850000, 0.854114, 65.556583, 64.714844, 564.714844, 109.000000, 1145529333.333333
112, 1.866667, 0.843520, 66.400103, 65.570313, 565.570313, 109.000000, 1145529333.333333
113, 1.883333, 0.832928, 67.233031, 66.414063, 566.414063, 109.000000, 1145529333.333333
114, 1.900000, 0.822337, 68.055368, 67.246094, 567.246094, 109.000000, 1145529333.333333
115, 1.916667, 0.811749, 68.867117, 68.070313, 568.070313, 109.000000, 1145529333.333333
116, 1.933333, 0.801162, 69.668279, 68.882813, 568.882813, 109.000000, 1145529333.333333
117, 1.950000, 0.790577, 70.458856, 69.683594, 569.683594, 109.000000, 1145529333.333333
118, 1.966667, 0.779994, 71.238850, 70.472656, 570.472656, 109.000000, 1145529333.333333
119, 1.983333, 0.769413, 72.008262, 71.253906, 571.253906, 109.000000, 1145529333.333333
120, 2.000000, 0.758834, 72.767096, 72.023438, 572.023438, 109.000000, 1145529333.333333
121, 2.016667, 0.748256, 73.515352, 72.781250, 572.781250, 109.000000, 1145529333.333333
122, 2.033333, 0.737682, 74.253034, 73.531250, 573.531250, 109.000000, 1145529333.333333
123, 2.050000, 0.727109, 74.980143, 74.265625, 574.265625, 109.000000, 1145529333.333333
124, 2.066667, 0.716538, 75.696681, 74.996094, 574.996094, 109.000000, 1145529333.333333
125, 2.083333, 0.705970, 76.402651, 75.710938, 575.710938, 109.000000, 1145529333.333333
126, 2.100000, 0.695404, 77.098055, 76.417969, 576.417969, 109.000000, 1145529333.333333
127, 2.116667, 0.684841, 77.782895, 77.113281, 577.113281, 109.000000, 1145529333.333333
128, 2.133333, 0.674280, 78.457175, 77.796875, 577.796875, 109.000000, 1145529333.333333
129, 2.150000, 0.663721, 79.120896, 78.472656, 578.472656, 109.000000, 1145529333.333333
130, 2.166667, 0.653166, 79.774062, 79.136719, 579.136719, 109.000000, 1145529333.333333
131, 2.183333, 0.642613, 80.416674, 79.789063, 579.789063, 109.000000, 1145529333.333333
132, 2.200000, 0.632063, 81.048737, 80.429688, 580.429688, 109.000000, 1145529333.333333
133, 2.216667, 0.621515, 81.670252, 81.062500, 581.062500, 109.000000, 1145529333.333333
134, 2.233333, 0.610971, 82.281223, 81.683594, 581.683594, 109.000000, 1145529333.333333
135, 2.250000, 0.600430, 82.881654, 82.296875, 582.296875, 109.000000, 1145529333.333333
136, 2.266667, 0.589893, 83.471546, 82.894531, 582.894531, 109.000000, 1145529333.333333
137, 2.283333, 0.579358, 84.050905, 83.484375, 583.484375, 109.000000, 1145529333.333333
138, 2.300000, 0.568827, 84.619732, 84.066406, 584.066406, 109.000000, 1145529333.333333
139, 2.316667, 0.558300, 85.178032, 84.632813, 584.632813, 109.000000, 1145529333.333333
140, 2.333333, 0.547777, 85.725809, 85.191406, 585.191406, 109.000000, 1145529333.333333
141, 2.350000, 0.537257, 86.263066, 85.738281, 585.738281, 109.000000, 1145529333.333333
142, 2.366667, 0.526741, 86.789807, 86.277344, 586.277344, 109.000000, 1145529333.333333
143, 2.383333, 0.516230, 87.306037, 86.804688, 586.804688, 109.000000, 1145529333.333333
144, 2.400000, 0.505723, 87.811760, 87.320313, 587.320313, 109.000000, 1145529333.333333
145, 2.416667, 0.495220, 88.306980, 87.824219, 587.824219, 109.000000, 1145529333.333333
146, 2.433333, 0.484722, 88.791702, 88.320313, 588.320313, 109.000000, 1145529333.333333
147, 2.450000, 0.474230, 89.265932, 88.804688, 588.804688, 109.000000, 1145529333.333333
148, 2.466667, 0.463742, 89.729674, 89.281250, 589.281250, 109.000000, 1145529333.333333
149, 2.483333, 0.453259, 90.182933, 89.742188, 589.742188, 109.000000, 1145529333.333333
150, 2.500000, 0.442783, 90.625716, 90.195313, 590.195313, 109.000000, 1145529333.333333
151, 2.516667, 0.432312, 91.058028, 90.640625, 590.640625, 109.000000, 1145529333.333333
152, 2.533333, 0.421847, 91.479874, 91.074219, 591.074219, 109.000000, 1145529333.333333
153, 2.550000, 0.411389, 91.891263, 91.496094, 591.496094, 109.000000, 1145529333.333333
154, 2.566667, 0.400937, 92.292200, 91.906250, 591.906250, 109.000000, 1145529333.333333
155, 2.583333, 0.390492, 92.682692, 92.304688, 592.304688, 109.000000, 1145529333.333333
156, 2.600000, 0.380055, 93.062748, 92.695313, 592.695313, 109.000000, 1145529333.333333
157, 2.616667, 0.369626, 93.432374, 93.078125, 593.078125, 109.000000, 1145529333.333333
158, 2.633333, 0.359205, 93.791580, 93.445313, 593.445313, 109.000000, 1145529333.333333
159, 2.650000, 0.348793, 94.140373, 93.804688, 593.804688, 109.000000, 1145529333.333333
160, 2.666667, 0.338390, 94.478763, 94.156250, 594.156250, 109.000000, 1145529333.333333
161, 2.683333, 0.327997, 94.806761, 94.492188, 594.492188, 109.000000, 1145529333.333333
162, 2.700000, 0.317615, 95.124376, 94.820313, 594.820313, 109.000000, 1145529333.333333
163, 2.716667, 0.307243, 95.431619, 95.136719, 595.136719, 109.000000, 1145529333.333333
164, 2.733333, 0.296884, 95.728502, 95.445313, 595.445313, 109.000000, 1145529333.333333
165, 2.750000, 0.286537, 96.015039, 95.742188, 595.742188, 109.000000, 1145529333.333333
166, 2.766667, 0.276203, 96.291242, 96.031250, 596.031250, 109.000000, 1145529333.333333
167, 2.783333, 0.265884, 96.557126, 96.304688, 596.304688, 109.000000, 1145529333.333333
168, 2.800000, 0.255580, 96.812706, 96.570313, 596.570313, 109.000000, 1145529333.333333
169, 2.816667, 0.245293, 97.057999, 96.828125, 596.828125, 109.000000, 1145529333.333333
170, 2.833333, 0.235024, 97.293023, 97.074219, 597.074219, 109.000000, 1145529333.333333
171, 2.850000, 0.224775, 97.517798, 97.308594, 597.308594, 109.000000, 1145529333.333333
172, 2.866667, 0.214547, 97.732344, 97.531250, 597.531250, 109.000000, 1145529333.333333
173, 2.883333, 0.204342, 97.936686, 97.746094, 597.746094, 109.000000, 1145529333.333333
174, 2.900000, 0.194162, 98.130849, 97.949219, 597.949219, 109.000000, 1145529333.333333
175, 2.916667, 0.184011, 98.314860, 98.144531, 598.144531, 109.000000, 1145529333.333333
176, 2.933333, 0.173890, 98.488750, 98.328125, 598.328125, 109.000000, 1145529333.333333
177, 2.950000, 0.163804, 98.652553, 98.503906, 598.503906, 109.000000, 1145529333.333333
178, 2.966667, 0.153755, 98.806308, 98.667969, 598.667969, 109.000000, 1145529333.333333
179, 2.983333, 0.143749, 98.950058, 98.820313, 598.820313, 109.000000, 1145529333.333333
180, 3.000000, 0.133792, 99.083849, 98.964844, 598.964844, 109.000000, 1145529333.333333
181, 3.016667, 0.123889, 99.207739, 99.097656, 599.097656, 109.000000, 1145529333.333333
182, 3.033333, 0.114049, 99.321788, 99.222656, 599.222656, 109.000000, 1145529333.333333
183, 3.050000, 0.104282, 99.426070, 99.335938, 599.335938, 109.000000, 1145529333.333333
184, 3.066667, 0.094600, 99.520670, 99.441406, 599.441406, 109.000000, 1145529333.333333
185, 3.083333, 0.085018, 99.605688, 99.535156, 599.535156, 109.000000, 1145529333.333333
186, 3.100000, 0.075557, 99.681245, 99.621094, 599.621094, 109.000000, 1145529333.333333
187, 3.116667, 0.066241, 99.747486, 99.695313, 599.695313, 109.000000, 1145529333.333333
188, 3.133333, 0.057106, 99.804592, 99.761719, 599.761719, 109.000000, 1145529333.333333
189, 3.150000, 0.048199, 99.852791, 99.820313, 599.820313, 109.000000, 1145529333.333333
190, 3.166667, 0.039586, 99.892378, 99.867188, 599.867188, 109.000000, 1145529333.333333
191, 3.183333, 0.031363, 99.923741, 99.906250, 599.906250, 109.000000, 1145529333.333333
192, 3.200000, 0.023668, 99.947409, 99.937500, 599.937500, 109.000000, 1145529333.333333
193, 3.216667, 0.016709, 99.964118, 99.960938, 599.960938, 109.000000, 1145529333.333333
194, 3.233333, 0.010779, 99.974897, 99.976563, 599.976563, 109.000000, 1145529333.333333
195, 3.250000, 0.006227, 99.981124, 99.988281, 599.988281, 109.000000, 1145529333.333333
196, 3.266667, 0.003260, 99.984384, 99.996094, 599.996094, 109.000000, 1145529333.333333
197, 3.283333, 0.001637, 99.986021, 100.000000, 600.000000, 109.000000, 1145529333.333333
